street_address,zip,row,cleaned_address,is_intersection,stnum1,stnum2,stdir,stname,sttype,full_address,lat,long,score,matched_address,m_is_intersection,m_street,m_stnum1,m_stnum2,m_stdir,m_stname,m_sttype,m_zip
4924 S LARAMIE AVE,60638,219892,4924 S LARAMIE AVE,FALSE,4924,4924,S,LARAMIE,AVE,"4924 S LARAMIE AVE, CHICAGO IL 60638",41.802974008863,-87.75305797707,100,"4924 S LARAMIE AVE, CHICAGO, IL, 60638",FALSE,4924 S LARAMIE AVE,4924,4924,S,LARAMIE,AVE, 60638
4926 S LARAMIE AVE,60638,219893,4926 S LARAMIE AVE,FALSE,4926,4926,S,LARAMIE,AVE,"4926 S LARAMIE AVE, CHICAGO IL 60638",41.802806999443,-87.753175994266,100,"4926 S LARAMIE AVE, CHICAGO, IL, 60638",FALSE,4926 S LARAMIE AVE,4926,4926,S,LARAMIE,AVE, 60638
4932 S LARAMIE AVE,60638,219894,4932 S LARAMIE AVE,FALSE,4932,4932,S,LARAMIE,AVE,"4932 S LARAMIE AVE, CHICAGO IL 60638",41.802638020275,-87.753302980099,100,"4932 S LARAMIE AVE, CHICAGO, IL, 60638",FALSE,4932 S LARAMIE AVE,4932,4932,S,LARAMIE,AVE, 60638
5018 S LARAMIE AVE,60638,219895,5018 S LARAMIE AVE,FALSE,5018,5018,S,LARAMIE,AVE,"5018 S LARAMIE AVE, CHICAGO IL 60638",41.801202996541,-87.75308303896,100,"5018 S LARAMIE AVE, CHICAGO, IL, 60638",FALSE,5018 S LARAMIE AVE,5018,5018,S,LARAMIE,AVE, 60638
5206 W 51ST ST,60638,219896,5206 W 51ST ST,FALSE,5206,5206,W,51ST,ST,"5206 W 51ST ST, CHICAGO IL 60638",41.800436010491,-87.753139030073,100,"5206 W 51ST ST, CHICAGO, IL, 60638",FALSE,5206 W 51ST ST,5206,5206,W,51ST,ST, 60638
5212 W 51ST ST,60638,219897,5212 W 51ST ST,FALSE,5212,5212,W,51ST,ST,"5212 W 51ST ST, CHICAGO IL 60638",41.800428005774,-87.75345703948,100,"5212 W 51ST ST, CHICAGO, IL, 60638",FALSE,5212 W 51ST ST,5212,5212,W,51ST,ST, 60638
5214 W 51ST ST,60638,219898,5214 W 51ST ST,FALSE,5214,5214,W,51ST,ST,"5214 W 51ST ST, CHICAGO IL 60638",41.800431987178,-87.753569021706,100,"5214 W 51ST ST, CHICAGO, IL, 60638",FALSE,5214 W 51ST ST,5214,5214,W,51ST,ST, 60638
5232 W 51ST ST,60638,219899,5232 W 51ST ST,FALSE,5232,5232,W,51ST,ST,"5232 W 51ST ST, CHICAGO IL 60638",41.800357011054,-87.754358010252,100,"5232 W 51ST ST, CHICAGO, IL, 60638",FALSE,5232 W 51ST ST,5232,5232,W,51ST,ST, 60638
5234 W 51ST ST,60638,219900,5234 W 51ST ST,FALSE,5234,5234,W,51ST,ST,"5234 W 51ST ST, CHICAGO IL 60638",41.800400010217,-87.754467980822,100,"5234 W 51ST ST, CHICAGO, IL, 60638",FALSE,5234 W 51ST ST,5234,5234,W,51ST,ST, 60638
5238 W 51ST ST,60638,219901,5238 W 51ST ST,FALSE,5238,5238,W,51ST,ST,"5238 W 51ST ST, CHICAGO IL 60638",41.800360992458,-87.754573006069,100,"5238 W 51ST ST, CHICAGO, IL, 60638",FALSE,5238 W 51ST ST,5238,5238,W,51ST,ST, 60638
5254 W 51ST ST,60638,219902,5254 W 51ST ST,FALSE,5254,5254,W,51ST,ST,"5254 W 51ST ST, CHICAGO IL 60638",41.800422012713,-87.754856984948,100,"5254 W 51ST ST, CHICAGO, IL, 60638",FALSE,5254 W 51ST ST,5254,5254,W,51ST,ST, 60638
5304 W 51ST ST,60638,219903,5304 W 51ST ST,FALSE,5304,5304,W,51ST,ST,"5304 W 51ST ST, CHICAGO IL 60638",41.800413002167,-87.755581013745,100,"5304 W 51ST ST, CHICAGO, IL, 60638",FALSE,5304 W 51ST ST,5304,5304,W,51ST,ST, 60638
5316 W 51ST ST,60638,219904,5316 W 51ST ST,FALSE,5316,5316,W,51ST,ST,"5316 W 51ST ST, CHICAGO IL 60638",41.800390999671,-87.756121981775,100,"5316 W 51ST ST, CHICAGO, IL, 60638",FALSE,5316 W 51ST ST,5316,5316,W,51ST,ST, 60638
5360 W 51ST ST,60638,219905,5360 W 51ST ST,FALSE,5360,5360,W,51ST,ST,"5360 W 51ST ST, CHICAGO IL 60638",41.800368997175,-87.757458979151,100,"5360 W 51ST ST, CHICAGO, IL, 60638",FALSE,5360 W 51ST ST,5360,5360,W,51ST,ST, 60638
5312 W 51ST ST,60638,219906,5312 W 51ST ST,FALSE,5312,5312,W,51ST,ST,"5312 W 51ST ST, CHICAGO IL 60638",41.800387982186,-87.755902962645,100,"5312 W 51ST ST, CHICAGO, IL, 60638",FALSE,5312 W 51ST ST,5312,5312,W,51ST,ST, 60638
10558 S PULASKI RD,60655,219907,10558 S PULASKI RD,FALSE,10558,10558,S,PULASKI,RD,"10558 S PULASKI RD, CHICAGO IL 60655",41.700582984695,-87.721192998682,97.16,"10558 S PULASKI RD, OAK LAWN, IL, 60453",FALSE,10558 S PULASKI RD,10558,10558,S,PULASKI,RD, 60453
3653 W 116TH PL,60655,219908,3653 W 116TH PL,FALSE,3653,3653,W,116TH,PL,"3653 W 116TH PL, CHICAGO IL 60655",41.681306052211,-87.711838593378,99.42,"3653 W 116TH PL, ALSIP, IL, 60803",FALSE,3653 W 116TH PL,3653,3653,W,116TH,PL, 60803
11533 S HOMAN AVE,60803,219909,11533 S HOMAN AVE,FALSE,11533,11533,S,HOMAN,AVE,"11533 S HOMAN AVE, CHICAGO IL 60803",41.683592442687,-87.705330623486,99.9,"11533 S HOMAN AVE, MERRIONETTE PARK, IL, 60803",FALSE,11533 S HOMAN AVE,11533,11533,S,HOMAN,AVE, 60803
9936 S CALIFORNIA AVE,60642,219910,9936 S CALIFORNIA AVE,FALSE,9936,9936,S,CALIFORNIA,AVE,"9936 S CALIFORNIA AVE, CHICAGO IL 60642",41.71250301493,-87.692020036137,98.34,"9936 S CALIFORNIA AVE, EVERGREEN PARK, IL, 60805",FALSE,9936 S CALIFORNIA AVE,9936,9936,S,CALIFORNIA,AVE, 60805
